0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000039635e-02,4.000000000000037553e-02
1.833109307124087043e-04,8.166441873712628158e-05,9.286257392025029265e-05,6.507507686297988106e-03
3.331981706300005705e-04,2.921412684897670812e-05,3.432972990151679353e-05,4.214821022948032209e-02
1.202405212691150450e-04,1.383029761140922834e-04,5.696410314435746081e-05,4.139872702709746638e-02
1.458994038585551933e-04,1.033238104817441229e-04,1.051282705107652911e-04,4.336304721697661207e-02
9.179819209453986414e-05,1.903104220812575716e-04,1.128440123854062508e-04,3.624584155335085212e-02
9.386430789926182648e-05,1.552270253309838074e-04,1.169788101532376177e-04,3.136571097535772318e-02
7.836814615663873179e-05,1.588295563210098823e-04,1.059753616983859649e-04,2.516783719241036041e-02
7.514748481546892987e-05,1.292516600591644570e-04,9.389701830722681371e-05,2.056224217415989972e-02
6.969481784271270187e-05,1.142885039399461563e-04,7.949625292457112441e-05,1.638636492126386429e-02
6.889366662196370395e-05,9.152089532731921915e-05,6.728012860934534775e-05,1.324600122611390048e-02
6.651868227544243067e-05,7.731925882969931444e-05,5.654810001907127365e-05,1.068268327905495113e-02
6.552518698787455919e-05,6.376196341822430919e-05,4.824953534014423545e-05,8.771368272703338950e-03
6.476399609297691707e-05,5.451718836927263369e-05,4.178542181882275098e-05,7.276024072297894961e-03
6.346217348469394641e-05,4.639751274422873839e-05,3.697660705790192559e-05,6.155713374864877144e-03
6.023094887965704217e-05,4.083574166462820848e-05,3.313027972147141858e-05,5.268057727664050144e-03
5.850934086190363566e-05,3.780348113078587779e-05,3.014706358624436773e-05,4.579232929437751509e-03
5.685181865935570733e-05,3.510431546621592256e-05,2.778942384244874889e-05,4.025205437488313387e-03
5.507892327358090333e-05,3.241516926778168319e-05,2.584858462819368582e-05,3.576069187613554329e-03
5.273181476622509656e-05,3.055523791748929316e-05,2.428646659135789762e-05,3.209767020513433922e-03
5.263903365924292962e-05,2.907885273151035780e-05,2.299992579389507208e-05,2.906354547049629870e-03
